WO ref,PROCESS,PART #,PART DESCRIPT,CUSTOMER,HOURS O/S,OP #,OP DESCRIPT,REQ'D DATE,PERIOD
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,0,60,MILL SIDE HOLES,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,5.5,50,MILL INSIDE DETAIL,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,4,40,MILL 2OFF M62,08/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.08,90,MILL PORT HOLE,09/12/2020,
58281/1.01,MANUAL MACHINING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.67,100,INSERT,09/12/2020,
58281/1.01,MILLING,MP/PER1/0452-DET,PLASTIC BODY ELECTRIC PAN & TILT  0452-DET  iss 12,FORUM ENERGY TECHNOLOGIES (UK) LTD,4,80,MILL PROFILE AND RAD ENG,09/12/2020,
1073,MANUAL MACHINING,MP/BEC/DESK-STABILISERS,'L' BRACKET DESK STABILISERS - WHITE PVC - 6mm THICK (PAIR),,2.75,30,FOLD,10/12/2020,
1074,MILLING,MP/SOI1/VE2037,SPRING HOUSING   VE2037 iss 0,,10.5,20,MILL - REVERSE COUNTERBORE,22/12/2020,
56352/1.02,TURNING,MP/CRE1/CRE-IC1031-MDT,CRE-IC1031-MDT Rev C   SIZE A HYBRID INSERT FEMALE 5 WAY (EPOXY),C R ENCAPSULATION LIMITED,34.08,20,TURN,25/12/2020,
56352/2.02,TURNING,MP/CRE1/CRE-IC1036-MDT,CRE-IC1036-MDT Rev C   SIZE A HYBRID INSERT FEMALE 9 WAY EPOXY ,C R ENCAPSULATION LIMITED,50.75,20,TURN,28/12/2020,
56352/2.02,MILLING,MP/CRE1/CRE-IC1036-MDT,CRE-IC1036-MDT Rev C   SIZE A HYBRID INSERT FEMALE 9 WAY EPOXY ,C R ENCAPSULATION LIMITED,26,30,MILL,29/12/2020,
56352/3.02,TURNING,MP/CRE1/CRE-IC1398-MDT,CRE-IC1398-MDT  Rev B   SIZE 'A' MSAJ INSERT FEMALE 3 WAY (EPOXY),C R ENCAPSULATION LIMITED,34.33,20,TURN,29/12/2020,
56352/1.02,MILLING,MP/CRE1/CRE-IC1031-MDT,CRE-IC1031-MDT Rev C   SIZE A HYBRID INSERT FEMALE 5 WAY (EPOXY),C R ENCAPSULATION LIMITED,30.17,30,DRILLING,31/12/2020,
56352/2.02,MILLING,MP/CRE1/CRE-IC1036-MDT,CRE-IC1036-MDT Rev C   SIZE A HYBRID INSERT FEMALE 9 WAY EPOXY ,C R ENCAPSULATION LIMITED,56.25,40,DRILLING (1.6 dia),31/12/2020,
56352/3.02,MILLING,MP/CRE1/CRE-IC1398-MDT,CRE-IC1398-MDT  Rev B   SIZE 'A' MSAJ INSERT FEMALE 3 WAY (EPOXY),C R ENCAPSULATION LIMITED,17.67,30,MILL,31/12/2020,
56359/1.02,TURNING,MP/CRE1/MC1544,"MC1544 Iss A   MALE COLLAR - TYPE MCDLS-M 
**EXCLUDING ENGRAVING ",C R ENCAPSULATION LIMITED,11.91,20,TURN,31/12/2020,
56359/2.02,TURNING,MP/CRE1/CRE-MC1203-MDT,"CRE-MC1203-MDT Rev A   35 DIA LOCKING COLLAR - FEMALE 
*EXCLUDES ENGRAVING DETAIL",C R ENCAPSULATION LIMITED,8,20,TURN,31/12/2020,
56806/1.02,TURNING,MP/CRE1/MC1209/22DIAX41,CRE-MC1209-MDT Rev A   LOCKING COLLAR TYPE - MCDLS-F (BLACK ACETAL),C R ENCAPSULATION LIMITED,108.87,20,TURN,31/12/2020,
58381/2.01,MANUAL MACHINING,MP/STE3/B02080093/5/69211310F,"TUBE SILICONE FOR Z15, B02080093  Drg 69211310F  -  As previously supplied",STEATITE LIMITED,0.42,15,SAW/CHOP,07/01/2021,
58381/2.01,TURNING,MP/STE3/B02080093/5/69211310F,"TUBE SILICONE FOR Z15, B02080093  Drg 69211310F  -  As previously supplied",STEATITE LIMITED,1.67,40,TURN,07/01/2021,
58434/1.01,MILLING,MP/CRE1/CRE-IC1207-MDT,CRE-IC1207-MDT Rev B   SIZE 'A' INSERT MALE 7 WAY TYPE 2 (BLACK PEEK),C R ENCAPSULATION LIMITED,3.25,30,DRILLING,07/01/2021,
58583/3.01,MANUAL MACHINING,MP/BEC/LBRACKETS,L BRACKET DESK SCREEN STABILISER (1 PAIR) PRO-TBL-BKT,AG BARR PLC,0.4,30,"
FOLD",13/01/2021,
58583/3.01,CNC ROUTERS,MP/BEC/LBRACKETS,L BRACKET DESK SCREEN STABILISER (1 PAIR) PRO-TBL-BKT,AG BARR PLC,0.95,20,CNC ROUTER,13/01/2021,
58304/2.01,MANUAL MACHINING,MP/AVI1/0020,SEPARATOR (FIXED) TO 0020,AVIAGEN UK LIMITED,7.67,30,MANUAL MACHINING (VARIOUS),29/01/2021,
58625/4.01,TURNING,MP/SOI1/AC9794,AC9794 iss 1   HOUSING UPPER - 6L COMPENSATOR,SOIL MACHINE DYNAMICS LIMITED,2.67,20,TURN,10/02/2021,
58625/4.01,TURNING,MP/SOI1/AC9794,AC9794 iss 1   HOUSING UPPER - 6L COMPENSATOR,SOIL MACHINE DYNAMICS LIMITED,1.67,30,TURN,10/02/2021,
58776/1.01.01,CNC ROUTERS,MP/HYD5/059616HYD-SPACER,"059616HYD, BLACK ACETAL SPACER, 300mm LONG X 32mm WIDE 5mm THICK",HYDRASUN LTD,1.57,20,CNC ROUTER (PER PAIR),10/02/2021,
58776/2.01.01,CNC ROUTERS,MP/HYD5/059653HYD-SPACER,"059653HYD, BLACK ACETAL SPACER, 300mm LONG X 32mm WIDE 5mm THICK",HYDRASUN LTD,4.22,20,CNC ROUTER (PER PAIR),10/02/2021,
58776/3.01.01,CNC ROUTERS,MP/HYD5/059654HYD-SPACER,"059654HYD, BLACK ACETAL SPACER, 300mm LONG X 32mm WIDE 5mm THICK",HYDRASUN LTD,1.57,20,CNC ROUTER (PER PAIR),10/02/2021,
58606/1.01,TURNING,MP/GEO6/15430,"SOCKET RETAINER, TO DRG DD-15430 REV A ",SONDEX WIRELINE LTD,5.58,20,TURN,11/02/2021,
58606/1.01,TURNING,MP/GEO6/15430,"SOCKET RETAINER, TO DRG DD-15430 REV A ",SONDEX WIRELINE LTD,4.17,30,TURN,11/02/2021,
58550/5.01,MILLING,MP/MET3/699-094,699-094 Rev A   TRANSFORMER ASSEMBLY INSULATING END BLOCK  (PEEK GF30) ,METROL TECHNOLOGY LIMITED,10.55,30,MILL,12/02/2021,
58567/5.01,MILLING,MP/MET3/881-007,"881-007 REV A   CENTRALISER, 13mm X 37.5mm X 61.3mm (PEEK GF30)",METROL TECHNOLOGY LIMITED,11.25,20,MILL,12/02/2021,
58606/1.01,MILLING,MP/GEO6/15430,"SOCKET RETAINER, TO DRG DD-15430 REV A ",SONDEX WIRELINE LTD,3.83,50,MILL,12/02/2021,
58606/1.01,TURNING,MP/GEO6/15430,"SOCKET RETAINER, TO DRG DD-15430 REV A ",SONDEX WIRELINE LTD,0.5,40,MANUFACTURE OF JIG OR FIXTURE,12/02/2021,
58638/1.01,MILLING,MP/AVI1/WATER-FLOW-MEASURE,"WATER FLOW MEASURE DEVICE

-SUPPLIED WITH 50ml MEASURING TUBE
-STAINLESS STEEL AVIAGEN LABELS (2 COLOUR) FITTED TO BOTH SIDES",AVIAGEN UK LIMITED,8.51,20,MILL,15/02/2021,
58747/1.01,CNC ROUTERS,MP/BEC/SAFETYSCREEN/NON-STANDARD,SAFETY SCREENS ,CASCADE TECHNOLOGIES Ltd,0,20,CNC ROUTER,15/02/2021,
58747/2.01,CNC ROUTERS,MP/BEC/SAFETYSCREEN/NON-STANDARD,SAFETY SCREENS ,CASCADE TECHNOLOGIES Ltd,0.5,20,CNC ROUTER,15/02/2021,
58557/1.01,CNC ROUTERS,MP/ALS1/MMIS-2R2004-1,MMIS-2R2004-1 Rev 8   110001052   LEFT HAND SHROUD FOR MBM,GE ENERGY POWER CONVERSION LTD,11.21,20,CNC ROUTER,16/02/2021,
58557/2.01,CNC ROUTERS,MP/ALS1/MMIS-2R2005-1,MMIS-2R2005-1 Rev 8   110001053   RIGHT HAND SHROUD FOR MBM ,GE ENERGY POWER CONVERSION LTD,8.2,20,CNC ROUTER,16/02/2021,
58652/2.01,MILLING,MP/GEO6/DD-418243,DD-418243 REV A   INSULATOR GO CONNECTOR UPPER,SONDEX WIRELINE LTD,1.17,40,MILL,16/02/2021,
58652/2.01,MILLING,MP/GEO6/DD-418243,DD-418243 REV A   INSULATOR GO CONNECTOR UPPER,SONDEX WIRELINE LTD,0.17,50,MILL,16/02/2021,
58652/2.01,TURNING,MP/GEO6/DD-418243,DD-418243 REV A   INSULATOR GO CONNECTOR UPPER,SONDEX WIRELINE LTD,0.17,30,TURN,16/02/2021,
58779/1.01,PRESS/SEALING,GR/CLY6/IS22149,GRAPHITE PACKING SET 61.51mm x 42.4mm (PA 22149) DRG IS/22149,CLYDE BERGEMANN LTD,0,10,"CHECK MATERIAL,DRAWING & REV NO",16/02/2021,
58638/1.01,MILLING,MP/AVI1/WATER-FLOW-MEASURE,"WATER FLOW MEASURE DEVICE

-SUPPLIED WITH 50ml MEASURING TUBE
-STAINLESS STEEL AVIAGEN LABELS (2 COLOUR) FITTED TO BOTH SIDES",AVIAGEN UK LIMITED,23.25,30,MILL,17/02/2021,
58638/1.01,MILLING,MP/AVI1/WATER-FLOW-MEASURE,"WATER FLOW MEASURE DEVICE

-SUPPLIED WITH 50ml MEASURING TUBE
-STAINLESS STEEL AVIAGEN LABELS (2 COLOUR) FITTED TO BOTH SIDES",AVIAGEN UK LIMITED,5,40,MILL,17/02/2021,
58653/1.01,MILLING,MP/PLA6/S126000-29-068,"S126000-29-068 REV NC, SLEEVE POSITION INDICATOR - 

**POSSIBLE SLIGHT MIS-MATCH AT THE CENTRE OF I.D. (MACHINED FROM EITHER END)**",PLASTIM LTD,6.42,30,MILL,18/02/2021,
58688/1.01,MILLING,MP/OTA1/W 21 435,W 21 435 SIDE 1(BLUE ACETAL 10mm STOCK THICKNESS),OTAQ OFFSHORE LIMITED,1.5,20,MILL,18/02/2021,
58688/2.01,MILLING,MP/OTA1/W 21 436,"W 21 436 SIDE 2 (BLUE ACETAL, 10mm STOCK THICKNESS) ",OTAQ OFFSHORE LIMITED,1.5,20,MILL,18/02/2021,
58688/3.01,MILLING,MP/OTA1/W 21 437,"W 21 437 BASE PLATE (BLAUE ACETAL, 16mm STOCK THICKNESS) (INSERTS M5 X3D)",OTAQ OFFSHORE LIMITED,1.75,20,MILL,18/02/2021,
58688/4.01,MILLING,MP/OTA1/W 21 438,"W 21 438 MIDDLE PLATE, (BLUE ACETAL, 16mm STOCK THICKNESS) (INSERTS M5 X 3D)",OTAQ OFFSHORE LIMITED,1.75,20,MILL,18/02/2021,
58688/6.01,MILLING,MP/OTA1/W 21 440,W 21 440 BRACKET (BLUE ACETAL),OTAQ OFFSHORE LIMITED,2,20,MILL,18/02/2021,
58708/1.01,MILLING,MP/CRE1/CRE-JF2000-MDT,CRE-JF2000-MDT REV 01   PIN LOCATOR BLOCK - SIE 'A' - 8 WAY HYBRID (NATURAL PEEK),C R ENCAPSULATION LIMITED,2,30,MILL,18/02/2021,
58779/1.01,PRESS/SEALING,GR/CLY6/IS22149,GRAPHITE PACKING SET 61.51mm x 42.4mm (PA 22149) DRG IS/22149,CLYDE BERGEMANN LTD,6.77,20,PRESS/SEALING,18/02/2021,
58667/1.01,MILLING,MP/DIV1/CSTF1002005S1/1000/401,CSTF1002005S1 Rev R0 / 1000/401 ISS B   TUBE,JFD LIMITED,0.98,30,MILL,19/02/2021,
58667/2.01,TURNING,MP/DIV1/CSTF1002006S1/1000/402,CSTF1002006S1 Rev R0 / 1000/402 ISS C   SENSING RING,JFD LIMITED,0,20,TURN,19/02/2021,
58667/2.01,MILLING,MP/DIV1/CSTF1002006S1/1000/402,CSTF1002006S1 Rev R0 / 1000/402 ISS C   SENSING RING,JFD LIMITED,2,30,MILL,19/02/2021,
58667/3.01,MILLING,MP/DIV1/CSTF1002007S1,"CSTF1002007S1 REV R01   FABRICATION, SENSING RING, REDUCING BUSH, 1-1/2"" BSP - 1-1/4"" BSP",JFD LIMITED,1.08,40,MILL,19/02/2021,
58667/4.01,MILLING,MP/DIV1/CSTF1002011S1/1000/407,CSTF1002011S1 Rev R0 / 1000/407 ISS A   MOTOR SUPPORT TUBE,JFD LIMITED,1.4,30,MILL,19/02/2021,
58667/6.01,MILLING,MP/DIV1/CSTF1002015S1/1000/411,CSTF1002015S1 Rev R0 / 1000/411 ISS A   BUFFER TUBE ASSY,JFD LIMITED,0.7,30,DRILL & TAP PVC PLUG,19/02/2021,
58667/7.01,TURNING,MP/DIV1/CSTF1002016S1,"CSTF1002016S1 REV R00   FABRICATION, SENSING RING, HOSE TAIL, 1-1/4"" BSP - 25mm POLYPROPYLENE ",JFD LIMITED,0.13,30,TURN,19/02/2021,
58667/7.01,MILLING,MP/DIV1/CSTF1002016S1,"CSTF1002016S1 REV R00   FABRICATION, SENSING RING, HOSE TAIL, 1-1/4"" BSP - 25mm POLYPROPYLENE ",JFD LIMITED,0.92,40,MILL,19/02/2021,
58676/2.01,TURNING,MP/OTA1/W-18-294,"W-18-294,  FIPCAM FRONT ENDCAP, (BLUE ACETAL)",OTAQ OFFSHORE LIMITED,2.25,20,TURN,19/02/2021,
58676/3.01,TURNING,MP/OTA1/W-18-293,W-18-293  FIPC ENDCAP 1 ACETAL (BLUE),OTAQ OFFSHORE LIMITED,2.67,20,TURN,19/02/2021,
58676/4.01,TURNING,MP/OTA1/W-18-292,"W-18-292, FIPVAM BODYTUBE ACETAL, (BLUE ACETAL)",OTAQ OFFSHORE LIMITED,2.04,20,TURN,19/02/2021,
58711/1.01,MILLING,MP/DIV1/C5092,C5092 REV C   MOUNTING BLOCK (BLACK CAST NYLON OFFERED),JFD LIMITED,1.5,20,MILL,19/02/2021,
58711/1.01,MILLING,MP/DIV1/C5092,C5092 REV C   MOUNTING BLOCK (BLACK CAST NYLON OFFERED),JFD LIMITED,0.08,30,MILL,19/02/2021,
58801/1.01,CNC ROUTERS,MP/ALE2/RQ-ICD-00232,RQ-ICD-00232 Rev 0-02   HDPE DOUBLE SUPPORT PLATE (BLACK HDPE) ,ALERON SUBSEA LIMITED,3.23,20,CNC ROUTER,19/02/2021,
58808/2.01,TURNING,MP/MET3/771-377,"771-377 REV A   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 37mm LG",METROL TECHNOLOGY LIMITED,3.29,20,TURN,19/02/2021,
58557/1.01,MANUAL MACHINING,MP/ALS1/MMIS-2R2004-1,MMIS-2R2004-1 Rev 8   110001052   LEFT HAND SHROUD FOR MBM,GE ENERGY POWER CONVERSION LTD,7.88,30,MANUAL MACHINING (VARIOUS),22/02/2021,
58557/2.01,MANUAL MACHINING,MP/ALS1/MMIS-2R2005-1,MMIS-2R2005-1 Rev 8   110001053   RIGHT HAND SHROUD FOR MBM ,GE ENERGY POWER CONVERSION LTD,28.25,30,MANUAL MACHINING (VARIOUS),22/02/2021,
58607/1.01,MILLING,MP/IMP2/10402-0656-REV02,10402-0656  Rev 02   Tooling Carriage Male Acid Injection Coupler,FUGRO GB (NORTH) MARINE LTD,0.03,50,MILL,22/02/2021,
58607/1.01,MILLING,MP/IMP2/10402-0656-REV02,10402-0656  Rev 02   Tooling Carriage Male Acid Injection Coupler,FUGRO GB (NORTH) MARINE LTD,1.1,40,MILL,22/02/2021,
58607/1.01,TURNING,MP/IMP2/10402-0656-REV02,10402-0656  Rev 02   Tooling Carriage Male Acid Injection Coupler,FUGRO GB (NORTH) MARINE LTD,0.05,30,TURN,22/02/2021,
58607/1.01,MILLING,MP/IMP2/10402-0656-REV02,10402-0656  Rev 02   Tooling Carriage Male Acid Injection Coupler,FUGRO GB (NORTH) MARINE LTD,0.03,60,ENGRAVE,22/02/2021,
58676/1.01,MILLING,MP/OTA1/W-19-354,"W-19-354,  FIPCAM WINDOW HOLDER, (BLUE ACETAL)",OTAQ OFFSHORE LIMITED,2,30,MILL,22/02/2021,
58676/1.01,TURNING,MP/OTA1/W-19-354,"W-19-354,  FIPCAM WINDOW HOLDER, (BLUE ACETAL)",OTAQ OFFSHORE LIMITED,2.04,20,TURN,22/02/2021,
58676/2.01,MILLING,MP/OTA1/W-18-294,"W-18-294,  FIPCAM FRONT ENDCAP, (BLUE ACETAL)",OTAQ OFFSHORE LIMITED,5.17,30,MILL,22/02/2021,
58676/3.01,MILLING,MP/OTA1/W-18-293,W-18-293  FIPC ENDCAP 1 ACETAL (BLUE),OTAQ OFFSHORE LIMITED,3.25,40,MILL,22/02/2021,
58676/3.01,TURNING,MP/OTA1/W-18-293,W-18-293  FIPC ENDCAP 1 ACETAL (BLUE),OTAQ OFFSHORE LIMITED,0.83,30,TURN,22/02/2021,
58676/4.01,MILLING,MP/OTA1/W-18-292,"W-18-292, FIPVAM BODYTUBE ACETAL, (BLUE ACETAL)",OTAQ OFFSHORE LIMITED,5.17,30,MILL,22/02/2021,
58808/2.01,MILLING,MP/MET3/771-377,"771-377 REV A   MOUNT BLOCK, ELECTRICAL CONNECTOR, M14.5x1 P, 37mm LG",METROL TECHNOLOGY LIMITED,6.45,30,MILL,22/02/2021,
50047/5.01,MANUAL MACHINING,MP/THA2/LDUK10005615-003,"COMPRESSION PAD, LDUK10005615-003 iss 1 (PORON 4701-40-20062-04)",THALES UK LIMITED,1.5,30,bag and tag,23/02/2021,
50047/5.01,MANUAL MACHINING,MP/THA2/LDUK10005615-003,"COMPRESSION PAD, LDUK10005615-003 iss 1 (PORON 4701-40-20062-04)",THALES UK LIMITED,3.17,20,PUNCH,23/02/2021,
58492/1.01,MILLING,MP/WAL3/01-00113X02,01-00113X02 Rev 00   SSPA SIDE PLATE SPACER (PEEK 30% GLASS FILLED),WALKER PRECISION ENGINEERING Ltd,14.5,20,MILL,23/02/2021,
58745/3.01,TURNING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,0,10,"CHECK MATERIAL,DRAWING & REV NO",23/02/2021,
58745/3.01,TURNING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,0.67,20,CUTTING MATERIAL,23/02/2021,
58758/1.01,PRESS/SEALING,GR/KEN1/P900973,"GRAPHITE RING, 23.30mm x 20.95mm x 2.15mm, DENSITY 1.6g/cc  P900973 REV B (WEIGHT 0.30/0.27gms)",SWAGELOK LIMITED,8.33,20,CUT/MEASURE TAPE,23/02/2021,
58782/1.01,TURNING,MP/LIN2/LK109,LK109  Iss 02    AGA Mic Housing (Weatherproof),OTAQ OFFSHORE LIMITED,2.28,20,TURN,23/02/2021,
58700/1.01,TURNING,MP/PER1/1448-DET,"SPACER RACK - 30 DEG, DRG 1448-DET ISS 2, NATURAL",FORUM ENERGY TECHNOLOGIES (UK) LTD,2.42,20,TURN,24/02/2021,
58700/6.01,TURNING,MP/PER1/2511-DET,"COMP BODY - 50cc-SPE250, 2511-DET REV 3",FORUM ENERGY TECHNOLOGIES (UK) LTD,1.67,20,TURN,24/02/2021,
58700/6.01,TURNING,MP/PER1/2511-DET,"COMP BODY - 50cc-SPE250, 2511-DET REV 3",FORUM ENERGY TECHNOLOGIES (UK) LTD,0.5,30,TURN,24/02/2021,
58700/6.01,TURNING,MP/PER1/2511-DET,"COMP BODY - 50cc-SPE250, 2511-DET REV 3",FORUM ENERGY TECHNOLOGIES (UK) LTD,1.08,40,TURN,24/02/2021,
58733/1.01,TURNING,MP/CRE1/CRE-MC3305-MDT,CRE-MC3305-MDT REV 01   M16 NUT NAUTRONIX CABLE ASSEMBLY 0111-0260 (450G PEEK),C R ENCAPSULATION LIMITED,2.88,20,TURN,24/02/2021,
58733/1.01,MILLING,MP/CRE1/CRE-MC3305-MDT,CRE-MC3305-MDT REV 01   M16 NUT NAUTRONIX CABLE ASSEMBLY 0111-0260 (450G PEEK),C R ENCAPSULATION LIMITED,2.83,30,MILL,24/02/2021,
58733/2.01,TURNING,MP/CRE1/CRE-MC3304-MDT,CRE-MC3304-MDT REV 01   M16 BOLT - NAUTRONIX CABLE ASSEMBLY 011-0260 (450G PEEK),C R ENCAPSULATION LIMITED,3.08,20,TURN,24/02/2021,
58733/2.01,MILLING,MP/CRE1/CRE-MC3304-MDT,CRE-MC3304-MDT REV 01   M16 BOLT - NAUTRONIX CABLE ASSEMBLY 011-0260 (450G PEEK),C R ENCAPSULATION LIMITED,2,30,MILL,24/02/2021,
58733/3.01,MILLING,MP/CRE1/CRE-IC1039-MDT,CRE-IC1039-MDT Rev C   SIZE 'A' HYBRID INSERT MALE 4 WAY (EPOXY),C R ENCAPSULATION LIMITED,2.83,30,DRILLING,24/02/2021,
58733/3.01,TURNING,MP/CRE1/CRE-IC1039-MDT,CRE-IC1039-MDT Rev C   SIZE 'A' HYBRID INSERT MALE 4 WAY (EPOXY),C R ENCAPSULATION LIMITED,9.08,20,TURN,24/02/2021,
58733/4.01,TURNING,MP/CRE1/CRE-IC1030-MDT,CRE-IC1030-MDT Rev C   INSERT SIZE A FEMALE 4-WAY (BLACK EPOXY) ,C R ENCAPSULATION LIMITED,3.44,20,TURN,24/02/2021,
58733/4.01,MILLING,MP/CRE1/CRE-IC1030-MDT,CRE-IC1030-MDT Rev C   INSERT SIZE A FEMALE 4-WAY (BLACK EPOXY) ,C R ENCAPSULATION LIMITED,3.83,30,DRILLING,24/02/2021,
58733/5.01,TURNING,MP/CRE1/CRE-IC1162-MDT,CRE-IC1162-MDT Rev C   SIZE 'B' HYBRID INSERT FEMALE 7 WAY (EPOXY),C R ENCAPSULATION LIMITED,3.08,20,TURN,24/02/2021,
58733/5.01,MILLING,MP/CRE1/CRE-IC1162-MDT,CRE-IC1162-MDT Rev C   SIZE 'B' HYBRID INSERT FEMALE 7 WAY (EPOXY),C R ENCAPSULATION LIMITED,3.08,30,DRILLING,24/02/2021,
58733/6.01,TURNING,MP/CRE1/CRE-IC1166-MDT,CRE-IC1166-MDT Rev B   SIZE 'C' HYBRID INSERT MALE 16 WAY (EPOXY),C R ENCAPSULATION LIMITED,2.58,15,TURN,24/02/2021,
58733/6.01,MILLING,MP/CRE1/CRE-IC1166-MDT,CRE-IC1166-MDT Rev B   SIZE 'C' HYBRID INSERT MALE 16 WAY (EPOXY),C R ENCAPSULATION LIMITED,3.04,20,DRILLING ,24/02/2021,
58733/7.01,TURNING,MP/CRE1/CRE-IC1163-MDT,CRE-IC1163-MDT Rev C   INSERT SIZE B MALE 7-WAY (BLACK EPOXY),C R ENCAPSULATION LIMITED,3.08,20,TURN,24/02/2021,
58733/7.01,MILLING,MP/CRE1/CRE-IC1163-MDT,CRE-IC1163-MDT Rev C   INSERT SIZE B MALE 7-WAY (BLACK EPOXY),C R ENCAPSULATION LIMITED,1.92,30,DRILLING,24/02/2021,
58733/8.01,TURNING,MP/CRE1/CRE-MC3313-MDT,CRE-MC3313-MDT REV 01   ROV SWITCH MAGNET BOLT CAP (450G PEEK),C R ENCAPSULATION LIMITED,1.73,20,TURN,24/02/2021,
58742/1.01,MILLING,MP/PER1/2023-DET,RETAINER - INSERT FEMALE  2023-DET REV4,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.88,30,MILL,24/02/2021,
58744/1.01,MILLING,MP/PER1/2412-DET.,270cc COMPENSATOR HOUSING  2412-DET REV 3,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.25,50,MILL,24/02/2021,
58744/1.01,TURNING,MP/PER1/2412-DET.,270cc COMPENSATOR HOUSING  2412-DET REV 3,FORUM ENERGY TECHNOLOGIES (UK) LTD,0.25,40,TURN,24/02/2021,
58744/1.01,TURNING,MP/PER1/2412-DET.,270cc COMPENSATOR HOUSING  2412-DET REV 3,FORUM ENERGY TECHNOLOGIES (UK) LTD,1.15,20,TURN,24/02/2021,
58745/1.01,TURNING,MP/SOI1/DE2089,COUPLING FLANGE   DE2089 rev 4,SOIL MACHINE DYNAMICS LIMITED,1.58,20,TURN,24/02/2021,
58745/3.01,MILLING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,4.08,50,MILL,24/02/2021,
58745/3.01,TURNING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,3.25,30,TURN,24/02/2021,
58745/3.01,TURNING,MP/SOI1/DE2085,PISTON HOUSING BOTTOM DE2085 iss 4,SOIL MACHINE DYNAMICS LIMITED,2.5,40,TURN,24/02/2021,
58745/5.01,TURNING,MP/SOI1/DE2086,PRESSURE HOUSING DE2086 iss 4,SOIL MACHINE DYNAMICS LIMITED,3.25,30,TURN,24/02/2021,
58745/5.01,MANUAL MACHINING,MP/SOI1/DE2086,PRESSURE HOUSING DE2086 iss 4,SOIL MACHINE DYNAMICS LIMITED,0.33,20,SAW,24/02/2021,
58762/5.01,TURNING,MP/SOI1/AB3123,ROLLER CHAIN IDLER  AB3123 ISS 0,SOIL MACHINE DYNAMICS LIMITED,1.3,20,TURN,24/02/2021,
58762/5.01,TURNING,MP/SOI1/AB3123,ROLLER CHAIN IDLER  AB3123 ISS 0,SOIL MACHINE DYNAMICS LIMITED,1,40,TURN,24/02/2021,
58762/5.01,TURNING,MP/SOI1/AB3123,ROLLER CHAIN IDLER  AB3123 ISS 0,SOIL MACHINE DYNAMICS LIMITED,0.3,30,TURN,24/02/2021,
58762/6.01,MANUAL MACHINING,MP/SOI1/AG7488,COVER PLATE POD TMS 3000m AG7488 REV 1,SOIL MACHINE DYNAMICS LIMITED,0,50,INSERT,24/02/2021,
58762/6.01,MILLING,MP/SOI1/AG7488,COVER PLATE POD TMS 3000m AG7488 REV 1,SOIL MACHINE DYNAMICS LIMITED,0.75,40,MILL,24/02/2021,
58762/6.01,MILLING,MP/SOI1/AG7488,COVER PLATE POD TMS 3000m AG7488 REV 1,SOIL MACHINE DYNAMICS LIMITED,5,30,MILL,24/02/2021,
58787/1.01,MILLING,MP/ROS5/PAD/29513-007,29513-007 Rev 01   NATURAL NYLON REST BLOCKS,ROSS-SHIRE ENGINEERING,1.25,20,MILL,24/02/2021,
58787/1.01,MILLING,MP/ROS5/PAD/29513-007,29513-007 Rev 01   NATURAL NYLON REST BLOCKS,ROSS-SHIRE ENGINEERING,0.2,30,MILL,24/02/2021,
58797/1.01,MANUAL MACHINING,MP/ALS1/MMID-2R2036-1,MMID-2R2036-1 REV 1   GLASTIC SUPPORT CHANNEL,GE ENERGY POWER CONVERSION LTD,1,20,MANUFACTURE OF JIG OR FIXTURE,24/02/2021,
58797/2.01,MANUAL MACHINING,MP/ALS1/MMID-2R2036-2,MMID-2R2036-2 REV 1   GLASTIC SUPPORT CHANNEL,GE ENERGY POWER CONVERSION LTD,1,20,MANUFACTURE OF JIG OR FIXTURE,24/02/2021,
58832/1.01,MANUAL MACHINING,MP/SOI1/AF2722,COVER UMB TERM. AF2722 iss 0,SOIL MACHINE DYNAMICS LIMITED,1.5,30,FINISH,24/02/2021,
